id:16484, name:Win32Bridge.Server, priority:8
id:12172, name:csrss, priority:13
id:13140, name:winpty-agent, priority:8
id:3992, name:msedge, priority:4
id:2252, name:msedge, priority:8
id:18448, name:svchost, priority:8
id:4400, name:svchost, priority:8
id:20928, name:rider64, priority:8
id:11780, name:AsusOSD, priority:8
id:16028, name:Rider.Backend64, priority:8
id:5252, name:msedge, priority:4
id:2664, name:NVDisplay.Container, priority:8
id:5680, name:niDiscSvc, priority:8
id:22488, name:msdtc, priority:8
id:1796, name:svchost, priority:8
id:14724, name:SgrmBroker, priority:8
id:5240, name:nimdnsResponder, priority:8
id:17048, name:SystemSettings, priority:8
id:23144, name:msedge, priority:4
id:3740, name:svchost, priority:8
id:19884, name:conhost, priority:8
id:18156, name:utweb, priority:8
id:9104, name:svchost, priority:8
id:6868, name:UserOOBEBroker, priority:8
id:3928, name:RuntimeBroker, priority:8
id:1340, name:svchost, priority:8
id:2200, name:svchost, priority:8
id:20732, name:EpicGamesLauncher, priority:8
id:4352, name:svchost, priority:8
id:9092, name:nvcontainer, priority:8
id:5212, name:svchost, priority:8
id:7364, name:WUDFHost, priority:8
id:4776, name:svchost, priority:8
id:13592, name:ctfmon, priority:13
id:20720, name:Cortana, priority:8
id:1324, name:svchost, priority:8
id:2184, name:svchost, priority:8
id:6492, name:WmiPrvSE, priority:8
id:15260, name:msedge, priority:4
id:2180, name:msedge, priority:10
id:5196, name:svchost, priority:8
id:1316, name:svchost, priority:8
id:2608, name:svchost, priority:8
id:15968, name:MSBuild, priority:8
id:6484, name:WmiPrvSE, priority:8
id:6052, name:svchost, priority:8
id:4324, name:svchost, priority:8
id:3892, name:svchost, priority:8
id:9060, name:EpicWebHelper, priority:8
id:14300, name:RuntimeBroker, priority:8
id:4, name:System, priority:8
id:16380, name:svchost, priority:8
id:0, name:Idle, priority:0
